date,city,latitude,longitude,uv_index
2020-01-04 12:00:00,Carnarvon,-24.867,113.661,12.94
2020-01-04 12:00:00,Chidlow,-31.857,116.272,12.7
2020-01-04 12:00:00,Collie,-33.363,116.156,12.47
2020-01-04 12:00:00,Cowaramup,-33.85,115.11,12.33
2020-01-04 12:00:00,Dampier,-20.66,116.71,14.28
2020-01-04 12:00:00,Denmark,-34.96,117.353,11.94
2020-01-04 12:00:00,Derby,-17.306,123.634,14.29
2020-01-04 12:00:00,Dongara,-29.251,114.934,13.22
2020-01-04 12:00:00,Donnybrook,-33.58,115.82,12.36
2020-01-04 12:00:00,Drummond Cove,-28.673000000000002,114.613,13.15
2020-01-04 12:00:00,Dunsborough,-33.617,115.1,12.31
2020-01-04 12:00:00,Esperance,-33.861,121.892,11.1
2020-01-04 12:00:00,Exmouth,-21.933,114.128,12.93
2020-01-04 12:00:00,Fitzroy Crossing,-18.194,125.567,14.81
2020-01-04 12:00:00,Fremantle,-32.057,115.744,12.54
2020-01-04 12:00:00,Geraldton,-28.774,114.609,13.2
2020-01-04 12:00:00,Halls Creek,-18.23,127.67,14.85
2020-01-04 12:00:00,Harvey,-33.08,115.89,12.44
2020-01-04 12:00:00,Jarrahdale,-32.339,116.062,12.64
2020-01-04 12:00:00,Jurien Bay,-30.297,115.042,12.9
2020-01-04 12:00:00,Kalbarri,-27.71,114.16,12.89
2020-01-04 12:00:00,Kalgoorlie,-30.749,121.466,11.86
2020-01-04 12:00:00,Kambalda,-31.2,121.67,11.58
2020-01-04 12:00:00,Kambalda West,-31.211,121.713,11.58
2020-01-04 12:00:00,Karratha,-20.736,116.846,14.38
2020-01-04 12:00:00,Katanning,-33.691,117.555,12.47
2020-01-04 12:00:00,Kojonup,-33.84,117.15,12.44
2020-01-04 12:00:00,Kununurra,-15.774000000000001,128.739,14.07
2020-01-04 12:00:00,Kwinana,-32.239,115.77,12.54
2020-01-04 12:00:00,Leschenault,-33.245,115.735,12.42
2020-01-04 12:00:00,Lesmurdie,-31.994,116.05,12.67
2020-01-04 12:00:00,Little Grove,-35.07,117.87,11.82
2020-01-04 12:00:00,Lower Chittering,-31.556,116.087,12.65
2020-01-04 12:00:00,Lower King,-34.958,117.938,11.92
2020-01-04 12:00:00,Mandurah,-32.529,115.723,12.5
2020-01-04 12:00:00,Manjimup,-34.241,116.146,12.26
2020-01-04 12:00:00,Margaret River,-33.955,115.075,12.33
2020-01-04 12:00:00,Merredin,-31.482,118.279,12.35
2020-01-04 12:00:00,Moora,-30.638,116.01,12.71
2020-01-04 12:00:00,Mount Barker,-34.63,117.667,12.1
2020-01-04 12:00:00,Mundijong,-32.284,115.973,12.63
2020-01-04 12:00:00,Narrogin,-32.936,117.178,12.75
2020-01-04 12:00:00,Newman,-23.354,119.732,15.04
2020-01-04 12:00:00,Northam,-31.653,116.666,12.61
2020-01-04 12:00:00,Nullagine,-21.888,120.107,15.24
2020-01-04 12:00:00,Paraburdoo,-23.201,117.671,14.49
2020-01-04 12:00:00,Perth,-31.952,115.859,12.56
2020-01-04 12:00:00,Pinjarra,-32.63,115.871,12.5
2020-01-04 12:00:00,Port Denison,-29.283,114.917,13.22
2020-01-04 12:00:00,Port Hedland,-20.31,118.601,14.49
2020-01-04 12:00:00,Quindalup,-33.667,115.145,12.31
2020-01-04 12:00:00,Ravenswood,-32.583,115.833,12.5
2020-01-04 12:00:00,Serpentine,-32.365,115.981,12.63
