date,latitude,longitude,uv-index,max-temperature
2021-01-16 03:00:00,-12,124,14.89,30.78
2021-01-17 03:00:00,-12,124,15.0,30.77
2021-01-18 03:00:00,-12,124,15.0,30.63
2021-01-19 03:00:00,-12,124,15.0,31.76
2021-01-12 03:00:00,-12,128,15.14,30.65
2021-01-13 03:00:00,-12,128,14.91,30.83
2021-01-14 03:00:00,-12,128,15.05,31.04
2021-01-15 03:00:00,-12,128,10.7,30.3
2021-01-16 03:00:00,-12,128,14.91,30.51
2021-01-17 03:00:00,-12,128,15.0,30.35
2021-01-18 03:00:00,-12,128,15.0,30.65
2021-01-19 03:00:00,-12,128,15.0,30.45
